id,legacy_path,module,submodule,file_type,category,applicability,status,status_basis,modern_candidate,migrated_file_1to1,mapping_basis_1to1,mapping_confidence_1to1,notes
LEGACY-00001,Legacy/.gitignore,.gitignore,.gitignore,(none),other_source,applicable,completed,exact_path_match,.gitignore,.gitignore,exact_path_match,high,
LEGACY-00002,Legacy/BibleReader/BibleReader/About.aspx,BibleReader,BibleReader/BibleReader/About.aspx,.aspx,ux_page_component,applicable,not_applicable,obsolete_webforms,,N/A,no_deterministic_match,none,WebForms .aspx page; modern app uses Razor views and ViewComponents
LEGACY-00003,Legacy/BibleReader/BibleReader/About.aspx.cs,BibleReader,BibleReader/BibleReader/About.aspx.cs,.cs,backend_library,applicable,not_applicable,obsolete_webforms,,N/A,no_deterministic_match,none,WebForms .aspx code-behind; modern app uses Razor views and ViewComponents
LEGACY-00004,Legacy/BibleReader/BibleReader/Account/ChangePassword.aspx,BibleReader,BibleReader/BibleReader/Account,.aspx,ux_page_component,applicable,not_applicable,obsolete_webforms,,N/A,no_deterministic_match,none,WebForms .aspx page; modern app uses Razor views and ViewComponents
LEGACY-00005,Legacy/BibleReader/BibleReader/Account/ChangePassword.aspx.cs,BibleReader,BibleReader/BibleReader/Account,.cs,backend_library,applicable,not_applicable,obsolete_webforms,,N/A,no_deterministic_match,none,WebForms .aspx code-behind; modern app uses Razor views and ViewComponents
LEGACY-00006,Legacy/BibleReader/BibleReader/Account/ChangePasswordSuccess.aspx,BibleReader,BibleReader/BibleReader/Account,.aspx,ux_page_component,applicable,not_applicable,obsolete_webforms,,N/A,no_deterministic_match,none,WebForms .aspx page; modern app uses Razor views and ViewComponents
LEGACY-00007,Legacy/BibleReader/BibleReader/Account/ChangePasswordSuccess.aspx.cs,BibleReader,BibleReader/BibleReader/Account,.cs,backend_library,applicable,not_applicable,obsolete_webforms,,N/A,no_deterministic_match,none,WebForms .aspx code-behind; modern app uses Razor views and ViewComponents
LEGACY-00008,Legacy/BibleReader/BibleReader/Account/Login.aspx,BibleReader,BibleReader/BibleReader/Account,.aspx,ux_page_component,applicable,not_applicable,obsolete_webforms,,N/A,no_deterministic_match,none,WebForms .aspx page; modern app uses Razor views and ViewComponents
LEGACY-00009,Legacy/BibleReader/BibleReader/Account/Login.aspx.cs,BibleReader,BibleReader/BibleReader/Account,.cs,backend_library,applicable,not_applicable,obsolete_webforms,,N/A,no_deterministic_match,none,WebForms .aspx code-behind; modern app uses Razor views and ViewComponents
LEGACY-00010,Legacy/BibleReader/BibleReader/Account/Register.aspx,BibleReader,BibleReader/BibleReader/Account,.aspx,ux_page_component,applicable,not_applicable,obsolete_webforms,,N/A,no_deterministic_match,none,WebForms .aspx page; modern app uses Razor views and ViewComponents
LEGACY-00011,Legacy/BibleReader/BibleReader/Account/Register.aspx.cs,BibleReader,BibleReader/BibleReader/Account,.cs,backend_library,applicable,not_applicable,obsolete_webforms,,N/A,no_deterministic_match,none,WebForms .aspx code-behind; modern app uses Razor views and ViewComponents
LEGACY-00012,Legacy/BibleReader/BibleReader/Account/Web.config,BibleReader,BibleReader/BibleReader/Account,.config,config_infra,applicable,not_applicable,obsolete_filetype,,N/A,no_deterministic_match,none,"Legacy .config files; settings in appsettings.json, packages in .csproj"
LEGACY-00013,Legacy/BibleReader/BibleReader/Admin/Data/Database/Book.xml,BibleReader,BibleReader/BibleReader/Admin,.xml,config_infra,applicable,completed,exact_path_match,BibleReader/BibleReader/Admin/Data/Database/Book.xml,Apps/BibleReader/BibleReader/Admin/Data/Database/Book.xml,exact_path_match,high,
LEGACY-00014,Legacy/BibleReader/BibleReader/Admin/Data/Database/Procedures/Book_Get.create.sql,BibleReader,BibleReader/BibleReader/Admin,.sql,db_schema_data,applicable,completed,exact_path_match,BibleReader/BibleReader/Admin/Data/Database/Procedures/Book_Get.create.sql,Apps/BibleReader/BibleReader/Admin/Data/Database/Procedures/Book_Get.create.sql,exact_path_match,high,
