id,legacy_path,module,submodule,file_type,category,applicability,status,status_basis,modern_candidate,migrated_file_1to1,mapping_basis_1to1,mapping_confidence_1to1,notes
LEGACY-00060,Legacy/Core/WCMS.Common/ConsoleLogger.cs,Core,Core/WCMS.Common/ConsoleLogger.cs,.cs,backend_library,applicable,completed,exact_path_match,Portal/WebSystem/WCMS.Common/ConsoleLogger.cs,Portal/WebSystem/WCMS.Common/ConsoleLogger.cs,exact_path_match,high,
LEGACY-00061,Legacy/Core/WCMS.Common/Constants.cs,Core,Core/WCMS.Common/Constants.cs,.cs,backend_library,applicable,completed,exact_path_match,Portal/WebSystem/WCMS.Common/Constants.cs,Portal/WebSystem/WCMS.Common/Constants.cs,exact_path_match,high,
LEGACY-00062,Legacy/Core/WCMS.Common/Controls/ImageSecurity.cs,Core,Core/WCMS.Common/Controls,.cs,backend_library,applicable,not_applicable,obsolete_webforms_control,,N/A,no_deterministic_match,none,Legacy WebForms ImageSecurity control depends on System.Web/WebControl/IHttpHandler and is retired in the modern ASP.NET Core stack.
LEGACY-00063,Legacy/Core/WCMS.Common/Data/GenericDataColumn.cs,Core,Core/WCMS.Common/Data,.cs,backend_library,applicable,completed,exact_path_match,Portal/WebSystem/WCMS.Common/Data/GenericDataColumn.cs,Portal/WebSystem/WCMS.Common/Data/GenericDataColumn.cs,exact_path_match,high,
LEGACY-00064,Legacy/Core/WCMS.Common/Data/GenericDataRow.cs,Core,Core/WCMS.Common/Data,.cs,backend_library,applicable,completed,exact_path_match,Portal/WebSystem/WCMS.Common/Data/GenericDataRow.cs,Portal/WebSystem/WCMS.Common/Data/GenericDataRow.cs,exact_path_match,high,
LEGACY-00065,Legacy/Core/WCMS.Common/Data/GenericDataTable.cs,Core,Core/WCMS.Common/Data,.cs,backend_library,applicable,completed,exact_path_match,Portal/WebSystem/WCMS.Common/Data/GenericDataTable.cs,Portal/WebSystem/WCMS.Common/Data/GenericDataTable.cs,exact_path_match,high,
LEGACY-00066,Legacy/Core/WCMS.Common/Data/GenericSqlDataProvider.cs,Core,Core/WCMS.Common/Data,.cs,backend_library,applicable,completed,exact_path_match,Portal/WebSystem/WCMS.Common/Data/GenericSqlDataProvider.cs,Portal/WebSystem/WCMS.Common/Data/GenericSqlDataProvider.cs,exact_path_match,high,
LEGACY-00067,Legacy/Core/WCMS.Common/Data/IDataProvider.cs,Core,Core/WCMS.Common/Data,.cs,backend_library,applicable,completed,exact_path_match,Portal/WebSystem/WCMS.Common/Data/IDataProvider.cs,Portal/WebSystem/WCMS.Common/Data/IDataProvider.cs,exact_path_match,high,
LEGACY-00068,Legacy/Core/WCMS.Common/Data/IQueryFilterElement.cs,Core,Core/WCMS.Common/Data,.cs,backend_library,applicable,completed,exact_path_match,Portal/WebSystem/WCMS.Common/Data/IQueryFilterElement.cs,Portal/WebSystem/WCMS.Common/Data/IQueryFilterElement.cs,exact_path_match,high,
LEGACY-00069,Legacy/Core/WCMS.Common/Data/ObjectColumnAttribute.cs,Core,Core/WCMS.Common/Data,.cs,backend_library,applicable,completed,exact_path_match,Portal/WebSystem/WCMS.Common/Data/ObjectColumnAttribute.cs,Portal/WebSystem/WCMS.Common/Data/ObjectColumnAttribute.cs,exact_path_match,high,
LEGACY-00070,Legacy/Core/WCMS.Common/Data/QueryFilter.cs,Core,Core/WCMS.Common/Data,.cs,backend_library,applicable,completed,exact_path_match,Portal/WebSystem/WCMS.Common/Data/QueryFilter.cs,Portal/WebSystem/WCMS.Common/Data/QueryFilter.cs,exact_path_match,high,
LEGACY-00071,Legacy/Core/WCMS.Common/Data/QueryFilterElement.cs,Core,Core/WCMS.Common/Data,.cs,backend_library,applicable,completed,exact_path_match,Portal/WebSystem/WCMS.Common/Data/QueryFilterElement.cs,Portal/WebSystem/WCMS.Common/Data/QueryFilterElement.cs,exact_path_match,high,
LEGACY-00072,Legacy/Core/WCMS.Common/Data/SqlDataProviderBase.cs,Core,Core/WCMS.Common/Data,.cs,backend_library,applicable,completed,exact_path_match,Portal/WebSystem/WCMS.Common/Data/SqlDataProviderBase.cs,Portal/WebSystem/WCMS.Common/Data/SqlDataProviderBase.cs,exact_path_match,high,
LEGACY-00073,Legacy/Core/WCMS.Common/Dates.cs,Core,Core/WCMS.Common/Dates.cs,.cs,backend_library,applicable,not_applicable,obsolete_feature,,N/A,no_deterministic_match,none,Legacy date utility; not referenced in modern codebase
LEGACY-00074,Legacy/Core/WCMS.Common/FileLogger.cs,Core,Core/WCMS.Common/FileLogger.cs,.cs,backend_library,applicable,completed,exact_path_match,Portal/WebSystem/WCMS.Common/FileLogger.cs,Portal/WebSystem/WCMS.Common/FileLogger.cs,exact_path_match,high,
LEGACY-00075,Legacy/Core/WCMS.Common/IDataManager.cs,Core,Core/WCMS.Common/IDataManager.cs,.cs,backend_library,applicable,completed,exact_path_match,Portal/WebSystem/WCMS.Common/IDataManager.cs,Portal/WebSystem/WCMS.Common/IDataManager.cs,exact_path_match,high,
LEGACY-00076,Legacy/Core/WCMS.Common/ILogger.cs,Core,Core/WCMS.Common/ILogger.cs,.cs,backend_library,applicable,completed,exact_path_match,Portal/WebSystem/WCMS.Common/ILogger.cs,Portal/WebSystem/WCMS.Common/ILogger.cs,exact_path_match,high,
LEGACY-00077,Legacy/Core/WCMS.Common/INamedObjectProvider.cs,Core,Core/WCMS.Common/INamedObjectProvider.cs,.cs,backend_library,applicable,completed,exact_path_match,Portal/WebSystem/WCMS.Common/INamedObjectProvider.cs,Portal/WebSystem/WCMS.Common/INamedObjectProvider.cs,exact_path_match,high,
LEGACY-00078,Legacy/Core/WCMS.Common/INamedValueProvider.cs,Core,Core/WCMS.Common/INamedValueProvider.cs,.cs,backend_library,applicable,completed,exact_path_match,Portal/WebSystem/WCMS.Common/INamedValueProvider.cs,Portal/WebSystem/WCMS.Common/INamedValueProvider.cs,exact_path_match,high,
LEGACY-00079,Legacy/Core/WCMS.Common/LogManager.cs,Core,Core/WCMS.Common/LogManager.cs,.cs,backend_library,applicable,completed,exact_path_match,Portal/WebSystem/WCMS.Common/LogManager.cs,Portal/WebSystem/WCMS.Common/LogManager.cs,exact_path_match,high,
LEGACY-00080,Legacy/Core/WCMS.Common/Media/AsxMedia.cs,Core,Core/WCMS.Common/Media,.cs,backend_library,applicable,completed,exact_path_match,Portal/WebSystem/WCMS.Common/Media/AsxMedia.cs,Portal/WebSystem/WCMS.Common/Media/AsxMedia.cs,exact_path_match,high,
LEGACY-00081,Legacy/Core/WCMS.Common/NamedObjectProvider.cs,Core,Core/WCMS.Common/NamedObjectProvider.cs,.cs,backend_library,applicable,completed,exact_path_match,Portal/WebSystem/WCMS.Common/NamedObjectProvider.cs,Portal/WebSystem/WCMS.Common/NamedObjectProvider.cs,exact_path_match,high,
