id,legacy_path,module,submodule,file_type,category,applicability,status,status_basis,modern_candidate,migrated_file_1to1,mapping_basis_1to1,mapping_confidence_1to1,notes
LEGACY-00119,Legacy/LessonReviewer/LessonReviewer/Admin/Login.aspx,LessonReviewer,LessonReviewer/LessonReviewer/Admin,.aspx,ux_page_component,applicable,not_applicable,obsolete_webforms,,N/A,no_deterministic_match,none,WebForms .aspx page; modern app uses Razor views and ViewComponents
LEGACY-00120,Legacy/LessonReviewer/LessonReviewer/Admin/Login.aspx.cs,LessonReviewer,LessonReviewer/LessonReviewer/Admin,.cs,backend_library,applicable,not_applicable,obsolete_webforms,,N/A,no_deterministic_match,none,WebForms .aspx code-behind; modern app uses Razor views and ViewComponents
LEGACY-00121,Legacy/LessonReviewer/LessonReviewer/Admin/Manage.aspx,LessonReviewer,LessonReviewer/LessonReviewer/Admin,.aspx,ux_page_component,applicable,not_applicable,obsolete_webforms,,N/A,no_deterministic_match,none,WebForms .aspx page; modern app uses Razor views and ViewComponents
LEGACY-00122,Legacy/LessonReviewer/LessonReviewer/Admin/Manage.aspx.cs,LessonReviewer,LessonReviewer/LessonReviewer/Admin,.cs,backend_library,applicable,not_applicable,obsolete_webforms,,N/A,no_deterministic_match,none,WebForms .aspx code-behind; modern app uses Razor views and ViewComponents
LEGACY-00123,Legacy/LessonReviewer/LessonReviewer/Admin/Web.config,LessonReviewer,LessonReviewer/LessonReviewer/Admin,.config,config_infra,applicable,not_applicable,obsolete_filetype,,N/A,no_deterministic_match,none,"Legacy .config files; settings in appsettings.json, packages in .csproj"
LEGACY-00124,Legacy/LessonReviewer/LessonReviewer/App_Data/Config.xml,LessonReviewer,LessonReviewer/LessonReviewer/App_Data,.xml,config_infra,applicable,completed,exact_path_match,LessonReviewer/LessonReviewer/App_Data/Config.xml,Apps/LessonReviewer/LessonReviewer/App_Data/Config.xml,exact_path_match,high,
LEGACY-00125,Legacy/LessonReviewer/LessonReviewer/App_Data/Services.xml,LessonReviewer,LessonReviewer/LessonReviewer/App_Data,.xml,config_infra,applicable,completed,exact_path_match,LessonReviewer/LessonReviewer/App_Data/Services.xml,Apps/LessonReviewer/LessonReviewer/App_Data/Services.xml,exact_path_match,high,
LEGACY-00126,Legacy/LessonReviewer/LessonReviewer/Default.aspx,LessonReviewer,LessonReviewer/LessonReviewer/Default.aspx,.aspx,ux_page_component,applicable,not_applicable,obsolete_pattern,,N/A,no_deterministic_match,none,WebForms default page; routing handled by Program.cs middleware
LEGACY-00127,Legacy/LessonReviewer/LessonReviewer/Default.aspx.cs,LessonReviewer,LessonReviewer/LessonReviewer/Default.aspx.cs,.cs,backend_library,applicable,not_applicable,obsolete_webforms,,N/A,no_deterministic_match,none,WebForms .aspx code-behind; modern app uses Razor views and ViewComponents
LEGACY-00128,Legacy/LessonReviewer/LessonReviewer/Global.asax,LessonReviewer,LessonReviewer/LessonReviewer/Global.asax,.asax,ux_page_component,applicable,not_applicable,obsolete_filetype,,LessonReviewer/LessonReviewer/Program.cs,manual_validated_startup_map,high,Global.asax obsolete; startup logic in Program.cs
LEGACY-00129,Legacy/LessonReviewer/LessonReviewer/Global.asax.cs,LessonReviewer,LessonReviewer/LessonReviewer/Global.asax.cs,.cs,backend_library,applicable,not_applicable,obsolete_filetype,,LessonReviewer/LessonReviewer/Program.cs,manual_validated_startup_map,high,Global.asax code-behind; startup in Program.cs
LEGACY-00130,Legacy/LessonReviewer/LessonReviewer/Handlers/AjaxHandler.ashx,LessonReviewer,LessonReviewer/LessonReviewer/Handlers,.ashx,ux_page_component,applicable,not_applicable,obsolete_filetype,,LessonReviewer/LessonReviewer/Api/LegacyAjaxHandlerController.cs,manual_validated_endpoint_map,high,Legacy .ashx HTTP handlers replaced by middleware/endpoints
LEGACY-00131,Legacy/LessonReviewer/LessonReviewer/Handlers/AjaxHandler.ashx.cs,LessonReviewer,LessonReviewer/LessonReviewer/Handlers,.cs,backend_library,applicable,not_applicable,obsolete_filetype,,LessonReviewer/LessonReviewer/Api/LegacyAjaxHandlerController.cs,manual_validated_endpoint_map,high,Code-behind for .ashx HTTP handler; replaced by middleware/endpoints
LEGACY-00132,Legacy/LessonReviewer/LessonReviewer/Handlers/Playback.ashx,LessonReviewer,LessonReviewer/LessonReviewer/Handlers,.ashx,ux_page_component,applicable,not_applicable,obsolete_filetype,,N/A,no_deterministic_match,none,Legacy .ashx HTTP handlers replaced by middleware/endpoints
LEGACY-00133,Legacy/LessonReviewer/LessonReviewer/Handlers/Playback.ashx.cs,LessonReviewer,LessonReviewer/LessonReviewer/Handlers,.cs,backend_library,applicable,not_applicable,obsolete_filetype,,N/A,no_deterministic_match,none,Code-behind for .ashx HTTP handler; replaced by middleware/endpoints
LEGACY-00134,Legacy/LessonReviewer/LessonReviewer/LessonReviewer.csproj,LessonReviewer,LessonReviewer/LessonReviewer/LessonReviewer.csproj,.csproj,build_tooling,applicable,completed,exact_path_match,LessonReviewer/LessonReviewer/LessonReviewer.csproj,Apps/LessonReviewer/LessonReviewer/LessonReviewer.csproj,exact_path_match,high,
LEGACY-00135,Legacy/LessonReviewer/LessonReviewer/Properties/AssemblyInfo.cs,LessonReviewer,LessonReviewer/LessonReviewer/Properties,.cs,backend_library,applicable,not_applicable,obsolete_filetype,LessonReviewer/LessonReviewer.Core/Properties/AssemblyInfo.cs;Portal/WebSystem/WCMS.Framewok.Agent/Properties/AssemblyInfo.cs;Portal/WebSystem/WCMS.Common/Properties/AssemblyInfo.cs,LessonReviewer/LessonReviewer/LessonReviewer.csproj,manual_validated_project_metadata_map,high,Assembly attributes now in SDK-style .csproj
LEGACY-00136,Legacy/LessonReviewer/LessonReviewer/Scripts/MCGI.js,LessonReviewer,LessonReviewer/LessonReviewer/Scripts,.js,ux_frontend,applicable,completed,exact_path_match,LessonReviewer/LessonReviewer/Scripts/MCGI.js,Apps/LessonReviewer/LessonReviewer/Scripts/MCGI.js,exact_path_match,high,
LEGACY-00137,Legacy/LessonReviewer/LessonReviewer/Scripts/MakeUpServices.js,LessonReviewer,LessonReviewer/LessonReviewer/Scripts,.js,ux_frontend,applicable,completed,exact_path_match,LessonReviewer/LessonReviewer/Scripts/MakeUpServices.js,Apps/LessonReviewer/LessonReviewer/Scripts/MakeUpServices.js,exact_path_match,high,
LEGACY-00138,Legacy/LessonReviewer/LessonReviewer/Scripts/common.js,LessonReviewer,LessonReviewer/LessonReviewer/Scripts,.js,ux_frontend,applicable,completed,exact_path_match,LessonReviewer/LessonReviewer/Scripts/common.js,Apps/LessonReviewer/LessonReviewer/Scripts/common.js,exact_path_match,high,
LEGACY-00139,Legacy/LessonReviewer/LessonReviewer/Scripts/jquery-1.4.1-vsdoc.js,LessonReviewer,LessonReviewer/LessonReviewer/Scripts,.js,ux_frontend,applicable,completed,exact_path_match,LessonReviewer/LessonReviewer/Scripts/jquery-1.4.1-vsdoc.js,Apps/LessonReviewer/LessonReviewer/Scripts/jquery-1.4.1-vsdoc.js,exact_path_match,high,
