id,legacy_path,module,submodule,file_type,category,applicability,status,status_basis,modern_candidate,migrated_file_1to1,mapping_basis_1to1,mapping_confidence_1to1,notes
LEGACY-00002,Legacy/BibleReader/BibleReader/About.aspx,BibleReader,BibleReader/BibleReader/About.aspx,.aspx,ux_page_component,applicable,not_applicable,obsolete_webforms,,N/A,no_deterministic_match,none,WebForms .aspx page; modern app uses Razor views and ViewComponents
LEGACY-00003,Legacy/BibleReader/BibleReader/About.aspx.cs,BibleReader,BibleReader/BibleReader/About.aspx.cs,.cs,backend_library,applicable,not_applicable,obsolete_webforms,,N/A,no_deterministic_match,none,WebForms .aspx code-behind; modern app uses Razor views and ViewComponents
LEGACY-00004,Legacy/BibleReader/BibleReader/Account/ChangePassword.aspx,BibleReader,BibleReader/BibleReader/Account,.aspx,ux_page_component,applicable,not_applicable,obsolete_webforms,,N/A,no_deterministic_match,none,WebForms .aspx page; modern app uses Razor views and ViewComponents
LEGACY-00005,Legacy/BibleReader/BibleReader/Account/ChangePassword.aspx.cs,BibleReader,BibleReader/BibleReader/Account,.cs,backend_library,applicable,not_applicable,obsolete_webforms,,N/A,no_deterministic_match,none,WebForms .aspx code-behind; modern app uses Razor views and ViewComponents
LEGACY-00006,Legacy/BibleReader/BibleReader/Account/ChangePasswordSuccess.aspx,BibleReader,BibleReader/BibleReader/Account,.aspx,ux_page_component,applicable,not_applicable,obsolete_webforms,,N/A,no_deterministic_match,none,WebForms .aspx page; modern app uses Razor views and ViewComponents
LEGACY-00007,Legacy/BibleReader/BibleReader/Account/ChangePasswordSuccess.aspx.cs,BibleReader,BibleReader/BibleReader/Account,.cs,backend_library,applicable,not_applicable,obsolete_webforms,,N/A,no_deterministic_match,none,WebForms .aspx code-behind; modern app uses Razor views and ViewComponents
LEGACY-00008,Legacy/BibleReader/BibleReader/Account/Login.aspx,BibleReader,BibleReader/BibleReader/Account,.aspx,ux_page_component,applicable,not_applicable,obsolete_webforms,,N/A,no_deterministic_match,none,WebForms .aspx page; modern app uses Razor views and ViewComponents
LEGACY-00009,Legacy/BibleReader/BibleReader/Account/Login.aspx.cs,BibleReader,BibleReader/BibleReader/Account,.cs,backend_library,applicable,not_applicable,obsolete_webforms,,N/A,no_deterministic_match,none,WebForms .aspx code-behind; modern app uses Razor views and ViewComponents
LEGACY-00010,Legacy/BibleReader/BibleReader/Account/Register.aspx,BibleReader,BibleReader/BibleReader/Account,.aspx,ux_page_component,applicable,not_applicable,obsolete_webforms,,N/A,no_deterministic_match,none,WebForms .aspx page; modern app uses Razor views and ViewComponents
LEGACY-00011,Legacy/BibleReader/BibleReader/Account/Register.aspx.cs,BibleReader,BibleReader/BibleReader/Account,.cs,backend_library,applicable,not_applicable,obsolete_webforms,,N/A,no_deterministic_match,none,WebForms .aspx code-behind; modern app uses Razor views and ViewComponents
LEGACY-00012,Legacy/BibleReader/BibleReader/Account/Web.config,BibleReader,BibleReader/BibleReader/Account,.config,config_infra,applicable,not_applicable,obsolete_filetype,,N/A,no_deterministic_match,none,"Legacy .config files; settings in appsettings.json, packages in .csproj"
LEGACY-00013,Legacy/BibleReader/BibleReader/Admin/Data/Database/Book.xml,BibleReader,BibleReader/BibleReader/Admin,.xml,config_infra,applicable,completed,exact_path_match,BibleReader/BibleReader/Admin/Data/Database/Book.xml,BibleReader/BibleReader/Admin/Data/Database/Book.xml,exact_path_match,high,
LEGACY-00014,Legacy/BibleReader/BibleReader/Admin/Data/Database/Procedures/Book_Get.create.sql,BibleReader,BibleReader/BibleReader/Admin,.sql,db_schema_data,applicable,completed,exact_path_match,BibleReader/BibleReader/Admin/Data/Database/Procedures/Book_Get.create.sql,BibleReader/BibleReader/Admin/Data/Database/Procedures/Book_Get.create.sql,exact_path_match,high,
LEGACY-00015,Legacy/BibleReader/BibleReader/Admin/Data/Database/Procedures/Book_Get.drop.sql,BibleReader,BibleReader/BibleReader/Admin,.sql,db_schema_data,applicable,completed,exact_path_match,BibleReader/BibleReader/Admin/Data/Database/Procedures/Book_Get.drop.sql,BibleReader/BibleReader/Admin/Data/Database/Procedures/Book_Get.drop.sql,exact_path_match,high,
LEGACY-00016,Legacy/BibleReader/BibleReader/Admin/Data/Database/Tables/Book.create.sql,BibleReader,BibleReader/BibleReader/Admin,.sql,db_schema_data,applicable,completed,exact_path_match,BibleReader/BibleReader/Admin/Data/Database/Tables/Book.create.sql,BibleReader/BibleReader/Admin/Data/Database/Tables/Book.create.sql,exact_path_match,high,
LEGACY-00017,Legacy/BibleReader/BibleReader/Admin/Data/Database/Tables/Book.drop.sql,BibleReader,BibleReader/BibleReader/Admin,.sql,db_schema_data,applicable,completed,exact_path_match,BibleReader/BibleReader/Admin/Data/Database/Tables/Book.drop.sql,BibleReader/BibleReader/Admin/Data/Database/Tables/Book.drop.sql,exact_path_match,high,
LEGACY-00018,Legacy/BibleReader/BibleReader/Admin/Data/Database/Tables/Translation.create.sql,BibleReader,BibleReader/BibleReader/Admin,.sql,db_schema_data,applicable,completed,exact_path_match,BibleReader/BibleReader/Admin/Data/Database/Tables/Translation.create.sql,BibleReader/BibleReader/Admin/Data/Database/Tables/Translation.create.sql,exact_path_match,high,
LEGACY-00019,Legacy/BibleReader/BibleReader/Admin/Data/Database/Tables/Translation.drop.sql,BibleReader,BibleReader/BibleReader/Admin,.sql,db_schema_data,applicable,completed,exact_path_match,BibleReader/BibleReader/Admin/Data/Database/Tables/Translation.drop.sql,BibleReader/BibleReader/Admin/Data/Database/Tables/Translation.drop.sql,exact_path_match,high,
LEGACY-00020,Legacy/BibleReader/BibleReader/Admin/Data/Database/Tables/Verse.create.sql,BibleReader,BibleReader/BibleReader/Admin,.sql,db_schema_data,applicable,completed,exact_path_match,BibleReader/BibleReader/Admin/Data/Database/Tables/Verse.create.sql,BibleReader/BibleReader/Admin/Data/Database/Tables/Verse.create.sql,exact_path_match,high,
LEGACY-00021,Legacy/BibleReader/BibleReader/Admin/Data/Database/Tables/Verse.drop.sql,BibleReader,BibleReader/BibleReader/Admin,.sql,db_schema_data,applicable,completed,exact_path_match,BibleReader/BibleReader/Admin/Data/Database/Tables/Verse.drop.sql,BibleReader/BibleReader/Admin/Data/Database/Tables/Verse.drop.sql,exact_path_match,high,
LEGACY-00022,Legacy/BibleReader/BibleReader/Admin/Data/Database/Translation.xml,BibleReader,BibleReader/BibleReader/Admin,.xml,config_infra,applicable,completed,exact_path_match,BibleReader/BibleReader/Admin/Data/Database/Translation.xml,BibleReader/BibleReader/Admin/Data/Database/Translation.xml,exact_path_match,high,
LEGACY-00023,Legacy/BibleReader/BibleReader/Admin/Data/Database/Verse.xml,BibleReader,BibleReader/BibleReader/Admin,.xml,config_infra,applicable,completed,exact_path_match,BibleReader/BibleReader/Admin/Data/Database/Verse.xml,BibleReader/BibleReader/Admin/Data/Database/Verse.xml,exact_path_match,high,
LEGACY-00024,Legacy/BibleReader/BibleReader/BibleReader.WebApp.csproj,BibleReader,BibleReader/BibleReader/BibleReader.WebApp.csproj,.csproj,build_tooling,applicable,completed,exact_path_match,BibleReader/BibleReader/BibleReader.WebApp.csproj,BibleReader/BibleReader/BibleReader.WebApp.csproj,exact_path_match,high,
LEGACY-00025,Legacy/BibleReader/BibleReader/BibleService.asmx,BibleReader,BibleReader/BibleReader/BibleService.asmx,.asmx,ux_page_component,applicable,completed,mapped_replacement_exists,BibleReader/BibleReader/Api/BibleApiController.cs,BibleReader/BibleReader/Api/BibleApiController.cs,report_mapped_direct,high,
LEGACY-00026,Legacy/BibleReader/BibleReader/BibleService.asmx.cs,BibleReader,BibleReader/BibleReader/BibleService.asmx.cs,.cs,backend_library,applicable,not_applicable,obsolete_filetype,,BibleReader/BibleReader/Api/LegacyBibleServiceController.cs,manual_validated_endpoint_map,high,Code-behind for ASMX web service; replaced by REST API
LEGACY-00027,Legacy/BibleReader/BibleReader/Default.aspx,BibleReader,BibleReader/BibleReader/Default.aspx,.aspx,ux_page_component,applicable,not_applicable,obsolete_pattern,,N/A,no_deterministic_match,none,WebForms default page; routing handled by Program.cs middleware
LEGACY-00028,Legacy/BibleReader/BibleReader/Default.aspx.cs,BibleReader,BibleReader/BibleReader/Default.aspx.cs,.cs,backend_library,applicable,not_applicable,obsolete_webforms,,N/A,no_deterministic_match,none,WebForms .aspx code-behind; modern app uses Razor views and ViewComponents
LEGACY-00029,Legacy/BibleReader/BibleReader/Global.asax,BibleReader,BibleReader/BibleReader/Global.asax,.asax,ux_page_component,applicable,not_applicable,obsolete_filetype,,BibleReader/BibleReader/Program.cs,manual_validated_startup_map,high,Global.asax obsolete; startup logic in Program.cs
LEGACY-00030,Legacy/BibleReader/BibleReader/Global.asax.cs,BibleReader,BibleReader/BibleReader/Global.asax.cs,.cs,backend_library,applicable,not_applicable,obsolete_filetype,,BibleReader/BibleReader/Program.cs,manual_validated_startup_map,high,Global.asax code-behind; startup in Program.cs
LEGACY-00031,Legacy/BibleReader/BibleReader/Properties/AssemblyInfo.cs,BibleReader,BibleReader/BibleReader/Properties,.cs,backend_library,applicable,not_applicable,obsolete_filetype,LessonReviewer/LessonReviewer.Core/Properties/AssemblyInfo.cs;Portal/WebSystem/WCMS.Framewok.Agent/Properties/AssemblyInfo.cs;Portal/WebSystem/WCMS.Common/Properties/AssemblyInfo.cs,BibleReader/BibleReader/BibleReader.WebApp.csproj,manual_validated_project_metadata_map,high,Assembly attributes now in SDK-style .csproj
