id,legacy_path,module,submodule,file_type,category,applicability,status,status_basis,modern_candidate,migrated_file_1to1,mapping_basis_1to1,mapping_confidence_1to1,notes
LEGACY-00119,Legacy/LessonReviewer/LessonReviewer/Admin/Login.aspx,LessonReviewer,LessonReviewer/LessonReviewer/Admin,.aspx,ux_page_component,applicable,not_started,no_modern_candidate,,N/A,no_deterministic_match,none,
LEGACY-00120,Legacy/LessonReviewer/LessonReviewer/Admin/Login.aspx.cs,LessonReviewer,LessonReviewer/LessonReviewer/Admin,.cs,backend_library,applicable,not_started,no_modern_candidate,,N/A,no_deterministic_match,none,
LEGACY-00121,Legacy/LessonReviewer/LessonReviewer/Admin/Manage.aspx,LessonReviewer,LessonReviewer/LessonReviewer/Admin,.aspx,ux_page_component,applicable,not_started,no_modern_candidate,,N/A,no_deterministic_match,none,
LEGACY-00122,Legacy/LessonReviewer/LessonReviewer/Admin/Manage.aspx.cs,LessonReviewer,LessonReviewer/LessonReviewer/Admin,.cs,backend_library,applicable,not_started,no_modern_candidate,,N/A,no_deterministic_match,none,
LEGACY-00123,Legacy/LessonReviewer/LessonReviewer/Admin/Web.config,LessonReviewer,LessonReviewer/LessonReviewer/Admin,.config,config_infra,applicable,not_started,no_modern_candidate,,N/A,no_deterministic_match,none,
LEGACY-00124,Legacy/LessonReviewer/LessonReviewer/App_Data/Config.xml,LessonReviewer,LessonReviewer/LessonReviewer/App_Data,.xml,config_infra,applicable,completed,exact_path_match,LessonReviewer/LessonReviewer/App_Data/Config.xml,LessonReviewer/LessonReviewer/App_Data/Config.xml,exact_path_match,high,
LEGACY-00125,Legacy/LessonReviewer/LessonReviewer/App_Data/Services.xml,LessonReviewer,LessonReviewer/LessonReviewer/App_Data,.xml,config_infra,applicable,completed,exact_path_match,LessonReviewer/LessonReviewer/App_Data/Services.xml,LessonReviewer/LessonReviewer/App_Data/Services.xml,exact_path_match,high,
LEGACY-00126,Legacy/LessonReviewer/LessonReviewer/Default.aspx,LessonReviewer,LessonReviewer/LessonReviewer/Default.aspx,.aspx,ux_page_component,applicable,not_started,no_modern_candidate,,N/A,no_deterministic_match,none,
LEGACY-00127,Legacy/LessonReviewer/LessonReviewer/Default.aspx.cs,LessonReviewer,LessonReviewer/LessonReviewer/Default.aspx.cs,.cs,backend_library,applicable,not_started,no_modern_candidate,,N/A,no_deterministic_match,none,
LEGACY-00128,Legacy/LessonReviewer/LessonReviewer/Global.asax,LessonReviewer,LessonReviewer/LessonReviewer/Global.asax,.asax,ux_page_component,applicable,not_started,no_modern_candidate,,LessonReviewer/LessonReviewer/Program.cs,manual_validated_startup_map,high,
LEGACY-00129,Legacy/LessonReviewer/LessonReviewer/Global.asax.cs,LessonReviewer,LessonReviewer/LessonReviewer/Global.asax.cs,.cs,backend_library,applicable,not_started,no_modern_candidate,,LessonReviewer/LessonReviewer/Program.cs,manual_validated_startup_map,high,
LEGACY-00130,Legacy/LessonReviewer/LessonReviewer/Handlers/AjaxHandler.ashx,LessonReviewer,LessonReviewer/LessonReviewer/Handlers,.ashx,ux_page_component,applicable,not_started,no_modern_candidate,,LessonReviewer/LessonReviewer/Api/LegacyAjaxHandlerController.cs,manual_validated_endpoint_map,high,
LEGACY-00131,Legacy/LessonReviewer/LessonReviewer/Handlers/AjaxHandler.ashx.cs,LessonReviewer,LessonReviewer/LessonReviewer/Handlers,.cs,backend_library,applicable,not_started,no_modern_candidate,,LessonReviewer/LessonReviewer/Api/LegacyAjaxHandlerController.cs,manual_validated_endpoint_map,high,
LEGACY-00132,Legacy/LessonReviewer/LessonReviewer/Handlers/Playback.ashx,LessonReviewer,LessonReviewer/LessonReviewer/Handlers,.ashx,ux_page_component,applicable,not_started,no_modern_candidate,,N/A,no_deterministic_match,none,
